Standard_Bangla,dialect_speech,English_translation
"ফখরুল সাহেবকে কেন আসামি করা হলো না
তার অডিও কোথায় 
বাংলাদেশ গোয়েন্দা সংস্থা","""ফখরুল সাবরে কেয়া আসামি গরা নইলু,ইভার ওডিও হডে,বাংলাদেশ গোয়েন্দা সংস্থা """,
আমি আরো দূরে যাব,অ্যাঁই আরো দূরে যাইয়্যু,
আমার স্বামী পর পর ৩ বছর আমার জন্মদিন মনেও রাখে নি,আই জামাই ফর ফর ৩ বছর আর জন্মদিন মনত নো রাহে,My husband didn't even remember my birthday for 3 years straight
আমি খাই,আই হাই,I eat.
আমার ছোটো বোন নানার বাড়ীতে ঘুরতে গিয়েছে,আর ছুড বইনোর নানার বাড়িত গুইত্তে গিয়ে,My younger sister went to visit Nana's house
আমার সকালে উঠেই চা খাওয়ার অভ্যাস,আর সকালোট উঠিয়েরে চা খাইবার অভ্যাস আছে,I have a habit of drinking tea right after waking up in the morning.
আরে ভাই জোক বোঝেন না,আরে ভাই জোক ন-বুঝন,
"এই হল আমাদের দেশ, মানুষ কেমনে কোথায় বিচারের জন্য যাবে!!","ইয়ান অইলুদে আরার দেশ,মানুষ কেনে হডে বিচারর লাই যাইবু",
এটাই আমাদের ডিজিটাল বাংলাদেশ,ইয়ান ই আরার ডিজিটাল  বাংলাদেশ,
এখনো চিনেন না,এইযো ন চিনন,Don’t know yet
"কোন জাতিকে ধ্বংস করতে চাইলে তার শিক্ষা ব্যবস্থা ধ্বংস করে দাও, নেপোলিয়নের সেই বিখ্যাত উক্তি!! যথার্থ হচ্ছে দিন দিন!! ছাত্র-ছাত্রীদের শিক্ষকদের প্রতি ন্যূনতম শ্রদ্ধাবোধ নেই বললেই চলে এখন!!","এক্কান জাতি ধ্বংস কইরতু চাইলে, আগফাইলা তাগো শিক্ষা সিসটেমডা ধ্বংস করো—নেপোলিয়নের ওই কতা আজিয়া ঠিক ঠিক মিল্যা যায়। এহন ছাত্র–ছাত্রিগো মাস্টরগোর লায় নূন্যতম ইজ্জত–আদবও আর রইল না",
ঐ লোকের সামনে আমি দাঁড়াতে পারবোনা,ঐ লোকর সামনোদি আই দারাইন্নো ফাইজ্জুম,I can't stand in front of that man
কাজ করতাম কিভাবে?,কাম গইত্তাম কেনে?,How did I work?
"কিছু একটা বলে দোষ তো দেয়া লাগবে তাই না?
তাই করতাছে","কিছু এক্কান হই দোষ ত দন পরিবু ইয়ান নইনি?
এতাল্লাই গরের যে",
খাবারে আরেকটু রসুন দিলে বেশী মজা হতো,খাবারত আরেক্কানা রসুন দিলি বেশি মজা অইতো,A little more garlic in the food would have been more fun
খাবারে লবণ একটু কম হয়েছে,খাাবারত লবন এক্কানা খম অইয়ে,The salt in the food is a little less
গরুর বাঁধা দরকার নেই,গরুর বাধান দরহার নাই,There is no need to tie the cow.
চারিদিকে কেবল চুর আর চুর,চাইরিমিক্কা উধা চুর আর চুর,
ছাত্র রাজনীতির সুফল।,ছাত্র রাজনীতির ভালা ফল,
ছোট থেকে নানার বাসায় বড় হয়েছি,ছুডো তুন নানার বাসাত ডর অয়য়ি,I grew up in my grandmother's house
জিয়াউর রহমান জড়িত। ওকে দ্রুত গ্রেফতার করে শাস্তি দেয়া হোক।,"জিয়াউর রহমান জড়িত,ইতারে সরে গ্রেফতার গরি শাস্তি দক",
"টিপ কান্ড তো মিত্যা।ওটার বিচার চান না কেন?
মোদি ভক্তরা বিঙ্গানি সাজে।সবাই ইসলাম
বিদ্দেশি।।",টিপ হান্ড ত মিচতা। ইবার বিচার ন চন কেয়া? মোদি ভক্ত অল বিঙ্গানি আজে। বেজ্ঞুন ইসলাম বিরুধী,
তারমানে সরকার এখন বলতে চান বিএনপি'র কথায় ঢাকা কলেজে গুলি ছুঁড়েছেন পুলিশ কর্মকর্তারা,তারমানি সরকার এহন কইতু চার বিম্পির কথায় ঢাকা কলেজ অত গুলি ছুইরগি পুলিশ কর্মকর্তা অলে,
এই তেতুলের নাম শুনলেই জিভে জল আসেনা এমন মানুষ খুজে পাওয়া কঠিন,তেতুলোর নাম উনিলে  জিব্বাত  ফানি নো আয়ে  এরিম্ন মানুষ কুজি ফাওয়া কঠিন,It is difficult to find people whose tongue does not water when they hear the name of this teal
বঙ্গবন্ধু শেখ মুজিবুর রহমান ১ নম্বর আসামি বঙ্গবন্ধু শেখ মুজিবুর রহমানের কঠিন শাস্তি দেওয়া হোক জোর দাবি জানাচ্ছি।,বঙ্গবন্ধু শেখ মুজিবুর রহমান ১ নম্বর আসামি বঙ্গবন্ধু শেখ মুজিবুর রহমান'র হঠিন শাস্তি দক জোর দাবি জানাইর।,
মেয়েটি খুবই বেয়াদপ,বেডি ইবা বেশি বিয়াদব,The girl is very naughty
বেশ কয়েকদিন পলাশের মন খুব খারাপ ছিল,বেশ হয়েকদিন পলাশর মন্নান হারাফ,Palash was very upset for several days
"অনেক সুন্দর আইন বাংলাদেশ এ
নোবেল দেয়া হোক ওই সব পুলিশ কে",বোত সুন্দর আইন বাংলাদেশ অত নোবেল দোন উচিত এসব পুলিশ অলরে,
মেকআপ টা কেমন হইসে?,মেকাপ ইবা কেন অইয়ে?,How is the makeup?
"যাক অবশেষে প্রতিবেদন জমা পরল!!!!!

 রাজনীতি বাংলাদেশের সংজ্ঞা, যার কোনো নীতি নেই।","যাক অবশেষে প্রতিবেদন জমা পইরলু। রাজনীতি  বাংলাদেশর সংজ্ঞা,যার হোনো নীতি নাই।",
যাক শায়েস্তা করার একটা মওকা পাওয়া গেছে!,যাক শায়েস্তা গরনর উজ্ঞা ফন্দি পা গিয়ি,
রাজনৈতিক প্রতিহিংসার ফলে প্রকৃত অপরাধীরা পার পেয়ে যায়। ফলাফল দেশে অসম্ভব রকম বেড়ে চলেছে অপরাধমুলূক কার্যকর্ম,রাজনৈতিক প্রতিহিংসার হারণে আসল অপরাধী অক্কল পার পায় যার। আর দেশ অত বাড়ি যার অসম্ভব রহম অপরাধমূলক হাজহাম,
শহীদ জিয়াউর রহমানও কবর থেকে উঠে আসছিলেন তার নামে মামলা হলো না কেনো জাতী জানতে চায়,"শহীদ জিয়াউর রহমান ও হবর অর তুন উঢি আইসসিল,ইভার নামে মামলা নইলু কেয়া জাতি জাইনতু চায়",
সময় গেল তোমার সব আয়োজনে,সমত গিল তোঁয়ার হক্কল আয়োজনত,
হীরক রাজার দেশে সবই সম্ভব,হীরক রাজার দেশ অত বেজ্ঞিন সম্ভব,
"এই নিউজ টার আশায় ই ছিলাম
দেরী করে দিলো প্রথমেই বলে দিলেই তো বিশ্বাস করে নিতাম",""" এই হবর ইয়ানর আশাত'ই আছিলাম দেরী গরি দিয়ি পথমেই হই দিলিই ত বিশ্বাস গরি ফেলাইতাম""",
"ওনি বিশ্বের সৎতায় ৩য়....
ওয়াক থু","""ইবা বিশ্ব'ত সৎতাত ৩য়....ওয়াক থু""",
"এদেশে বিজ্ঞান শেখানোর অপরাধে জেলে যেতে হয়।
অথচ প্রকাশ্যে ওয়াজ-মাহাফিলে দেশবিরোধী,সাম্প্রদায়িক বক্তব্য দেয়া কাঠমোল্লারা নিশ্চিতে ঘুরে বেড়ায়","""এদেশ অত বিজ্ঞেয়ান শিখান অর অপরাদে জেইল অত যন পরে। অতছ পকাইশ্যে ওয়াজ-মাফিল অত দেশবিরোধী, সাম্প্রদায়িক বইক্তিব্য দইন্না হাটমোল্লা অলে নিশ্চিন্তে ঘুরি বেড়ার""",
"এদেশে আইনের শাসন বলতে যে কিছু নেই
এই মামলা তার উদাহরণ","""এদেশত আইনর শাসন বলতে যে কিছু নাই এই মামলা ইয়ানর উদাহরণ""",
"চুপ করে থাক ব্যাটা
খুবই খারাপ তোরা","""চুপ গরি থাক ব্যাডা বোত হারাপ তোরা""",
"""জ"" তে জাফর ইকবাল, তুই রাজাকার, তুই রাজাকার....","""জ"" তে জাফর ইকবাল, তুই রাজাকার, তুই রাজাকার।",
"দলীয় উলিশ হলে যা হয়, সরি পুলিশ।
বাংলাদেশ পুলিশ আমাদের অহংকার।","""দলীয় উলিশ ওইলি যা অয়, সরি পুলিশ। বাংলাদেশ পুলিশ আরার অহংকার।""",
"মারামারি প্রথমে লাগছে তার দোকানে, যদিও অন্য দোকানের লোক ঢাকা কলেজের ছাত্রদের ডেকে এনেছে, তারপরও দোকানের কর্মীদের দোষ আছে।
আর আপনার একটা দোকানে একটা ঘটনা ঘটলে এটার দায় ভার আপনার!","""মারামারি পথমে বাইজ্জি ইবার দুয়ানত, যদিও ওইন্ন দুয়ানর মানুষ ঢাহা কলেজর ছাত্র-অলরে ডাকি আইন্নি, তারপরও দুয়ানর হর্মী-অলর দোষ আছে। আর অনর এক্কান দুয়ানত এক্কান ঘটনা ঘটিলি ইয়ানর দায় ভার অনর!""",
"কবি নজরুল আমাদের কবি।
তুই ক্যাডারে! তুদের কবি নাথ ঠাকুর ওইদিকে যা","""হবি নজরুল আরার হবি। তুই হন রে! তুরার হবি নাথ ঠাকুর ইন্দি যা""",
"সাথে জিয়াকেও, মরোনত্তর বিচার করা যেতে পারে!","862 অন্গে জিয়ারেও, মরোনত্তর বিচার গরন যাইত পারে!",
জারছি পড়া খানকির পোলা,।জার্সি ফরা হানকির ফুয়া,
দুরো সালার পুদ চুপথাক,।দুরু আলারফুত সুপ তাক,
হ্যাঁ তুমি অনেক মোটা,অ তুঁই বউত মোটা,yes you are very fat
ও দেশ তুমি আমার হবে কবে?,অ দেশ তোয়াই হার অইবা?,
"বাবা গো কি পল্টিই না দেখলো দেশবাসী, শয়তান ও লজ্জা পাবে","অ বাজি, ক্যান গরি ভোল পাল্টাই ফেলানি দেইক্ষে দেশর মাইনষে, শতান উদ্দা শরম ফাইবো",
হ সরকার দুইশত টাকার নোট তৈরি করেছেন,অ সরহার দুশত টেয়ার নোট বানাইয়েদে,
আপনাদের অযোগ্য সন্তান,অঁনোরার অযোগ্য ফোয়া,Your unworthy child
হ্যাঁ সব ই বিএনপি।মশা মাছি মারা গেলে ও আর কিছু দিন পর বলবে বিএনপি মারছে।কি অবস্থা।পুরাই হাইস্যকর ব্যাপার,"অঁয়,বেজ্ঞুন বিএনপি। মশা মাছি মইল্লেও আর কিছুদিন বাদে হইবো দে বিএনপি মাইরগে বলি",
শ্বশুর হারিয়ে যাবে,অঅর আঁজাই যাইব্যু,
শ্বশুর বাড়ি ও বউ হবে,অঅর বাড়ি ও বউ অইব্যু,
শ্বশুর বাড়ি যেতে হবে কেন তোর,অঅর বাড়ি যাইতাম অইব্যু কিল্লাই তুঁর,
শ্বশুর বাড়ি যাবে ঠিক করে,অঅর বাড়ি যাইব্যু ঠিক গরে,
অই সালা কাদির সালা চোরের মত কতা বলস কেন সালা আওয়ামিলীগের দালা,"অই আলা কাদির আলা চোরওর মত হতা হস কা, আলা আমামিলিগওর দালাল।",
ওই সালা সরকারি ওফিসে আকাজ করছে আরতুই কছ কিছুই বলার নেই মাদার চোদ ডিসির দালালি করছ,"অই আলা সরকারি অফিসত বইয়্যেরে আহাম বেজ্ঞিন গরের, আর তুই হদ্দে কিছু গরিবের নাই? মাদারিসুদ ডিসির দালালি গরস।",
সে আকাশে উড়ন্ত পাখির গান শোনতেই মন খুশি হয়ে উঠত,অই আস্সানর উরন্ত ফেইকঅর গান ফুনিলেই মন কুশি অই যাইতই,He used to feel happy when he heard the song of birds flying in the sky
ঐ এলাকায় জামায়াত নাই নাকি?,অই এলাহাত জামাত নাই না কি?,
এই ছেলের গায়ে বোমা মারলো অথছ কিছুই হইলো নাএক্সপায়ার হইয়া গেসে বোমা,"অই পোয়া ইভার গাত বোম মাইরলু অথচ কিছুই নইলু,এক্সপায়ার অই গিয়ি বোমা",
ওপারে ভাল থেকেন স্যার। বাংলাদেশ এতো ডিজিটাল হলো যে মরা মানুষ status দিতে পারে ���,অই ফারে ভালা থাইকুন স্যার। বাংলাদেশ এতো ডীজিটাল অইয়্যি দে মানুষ মরিলি দেয়া ফরে,
সে ফুলগুলোর রঙিন মেলা দেখে হৃদয় ভরে যায়,অই ফুল্লুন অর রঙিন মেলা দেহি রিদয় বরি যা গই,He is heart filled by seeing the colorful fair of flowers
ওই ছেলে কোন কিছুই শুনতে চায় না তার সাথে দেখা করতে চায়,অই ফোয়া হনো কিচু ফুইন্তো ন চায় তার ফোয়ারে দেহা গইরতো চাই,The boy doesn't want to hear anything but wants to meet him
ওই মেয়েকে যেভাবেই হোক খুঁজে বের করতে হবে,অই মাইয়াফোয়া যেনেইওক খুজি বাইর গরন ফরিব,
ওই মাগীরে বাংলাদেশ তেকে বাহির করে দেওয়া হক সমাজ নষ্ট করার জন্য এমন একটা মাগীর বাচ্চা ওই যতেস্ট,অই মাগীরে বাংলাদেশত্তুন বাইর গরি দেয়া ফরিবু সমাজ হারাপ বানাইবেল্লাই  এইল্লে উজ্ঞো মাগীর বাইচ্চে যথেষ্ট।,
অই মাদার চোদ কে ফাশি চাই,অই মাদার চুদোর ফাষি চাই।,
হয়ে গিয়েছি,অইগেই,I have become
হতে পারবে না এসব,অইত ফাইত্ত ন এগিন,
হতে পারে আমরা অন্য জাতের পাখি,অইত ফারে অ্যাঁরা অন্য জতর ফাখি,
আগুন ধরেছে নাকি ঘরে,অইন ধইজ্জে নি ঘরত,
"ভিন্নমতের কারণে কত অসহায় শিশু বাবাকে হারিয়েছে, একটিবারও দেখেনি কত বছর","অইন্য মত অর হারণে হতো অসয়ায় পোয়া ছা বাপ আরাইয়ি, একবারো ন চাইলু এতোবছর অত",
অন্য কলেজ এর ছাত্রছাত্রীরা কোথায়?,অইন্য হলেজ অর ছাত্রছাত্রী অল হডে?,
সেইবার আমি প্রায় ৪ মাস পরে বাসায় গিয়েছি,অইমত্তন আঁই ফ্রায় চাইর মাস ফর বাসাত গেয়্যি,That time I went home after about 4 months
মাছ ধরছে,অকল মাছ ধরে,Catching fish
সব সময় এমন জুতা দিয়ে মাইর খায়,অক্কল সমত এন জুতা দি মাইর হায়,
সবাইকে অনুরোধ করি আমি,অক্কলরে অনুরোধ গরি অ্যাঁই,
সবাইকে ডাকে দেখবে জন্য,অক্কলরে ডাহে চ্যাঁইবে লাই,
সবাইকে সামাল দেওয়া কঠিন হয়ে যাবে,অক্কলরে সামাল দিবে কোদিন অই যাইব্যু,
অক্ষর ঝাপসা হয়ে আসে,অক্ষর ঝাপসা অই অ্যাইয়ে,
অক্সিজেন নামে একটি গ্যাস আছে,অক্সিজেন নামে উজ্ঞো গ্যাস আছে,
অবংশের জাত ইন্ডিয়ার জাত তো ভাল না এর জন্য,অখান্দানর জাত হন্ডিয়ার জাত ত গম ন ইবার লাই,
অখুশি বালো লাগে না,অখুশি বালা ন লাগে।,
একটি ছোট বোন,অগগা গুরা বইন,A little sister
অচেনা লোকের উপহার গ্রহণ করি না,অচেনা লোকর উফহার গ্রহন নো গরি,Do not accept gifts from strangers
এক গালে একটা থাপ্পর লাগিয়ে দিব,অজ্ঞ গাল সায় সুয়ার দিউম,I will slap you on one cheek.
অথচ আমার রুহানি আব্বুর জামিন হয় না এদেশে!,অতচ আর রুহানি আব্বার জামিন নই এদেশ অত,
অথচ আসে পাশের সব বাড়ি তেই পানি দিয়ে দিচ্ছে শুধু আমাদের বাড়িতেই পানি দিচ্ছে না,অতচ ফাশর বেজ্ঞিন বারিত ফানি দি ফিলার শুদু আঁরো বারিতই ন ফানি ন দের,"But they are giving water to all the neighboring houses, not only to our house"
অতিন্ড দাদা ভালো লুক,অতীন্দ্র দাদা ভালা মানুষ।,
অতিনদো দা না থাকলে আজো রানু মন্ডল রাস্তাই রাস্তাই ভিক্ষা ই করে বেড়াতে হত,অতীন্দ্রদা ন থাহিলি আযিয়ে রানু মন্ডলরে রাস্তা রাস্তাত খরাত খুযন ফইত্তু।,
অতিন্দ্রদার দাঁ এর জন্য অনেক অনেক ভালোবাসা,অতীন্দ্রদার লায় বউত বউত ভালোবাসা।,
অতিন্দ্র দাদার কাজ ভালো লাগলে ভিডিওটিতে লাইক দিয়ে দেখতে থাকুন ভালো কাজ করলো কে আর লাইক চায় কে,অতীীন্দ্র দাদার হাম এগিন ভালা লাইলে ভিডিয়োউয়োত লাইক দিয়েনে সাইতে থাহন হাম ভালা হনে গরের আর হনে লাইক হুযের।,
অথচ আমির হামজারা মুক্তি পায় না এটাই বর্তমান বাস্তবতা,অথচ আমির হামজা তারা মুক্তি ন পায় ইয়ান ই বর্তমান বাস্তোবতা,
