Sentence #,Standard_Bangla,Chittagong,Sylhet,Noakhali,Mymensingh,Barishal
1,কেমন আছো,কেন আচো?,ভালা আছনি?,কেইক্কান আছেন ?,কেমত আছো?,আসো কোরোহম?
2,আজকে আমার মন ভালো নেই,আযিয়া আর মন বালা নাই?,আইজকু আমার মন ভালা নায়,আইজ্জা আর মন ভালা নাই,আইজ আমার মন ভালা নাই,আইজ মোর মনডা ভালোনা
3,তুমি কি করো,তুঁই কি গরো?,তুমি কিতা খরো?,তুমি কিআ করর ?,তুমি কিতা করো?,ও মোনু হর কি?
4,এই গরমে আমার কিছু ভালো লাগে না,এই গরমত আত্তুন কিচু বালা ন লাগের,অউ গরমো আমার কুনতা ভালা লাগের না,এতো গরমে আর কিচ্ছু ভালা লাগে না,এই গরমডাত আমার কিছু ভালা লাগে না,এই থাডা পরা গরমে মোর কিস্সু ভাল্লাগেনা
5,ছেলেটি সাদা রঙয়ের একটি শার্ট পরে এসেছিল,ফোয়াইবা সাদা রংওর উজ্ঞা শার্ট ফরি আইস্যিল,ফুয়াটায় এখটা সাদা রংগর শার্ট পিন্দিয়া আইছিল,পোলাডা একটা সাদা রং এর শার্ট পড়ি আইসিলো,ছেড়াটা সাদা রংগের একটা শার্ট পইড়া আইছিল,পলাউগ্গা এউক্কা ধলা রং এর এউক্কা গুন্জি পইর্রা আইসেল
6,মেয়েটি লাল রঙয়ের শাড়ি পরে আমার সাথে দেখা করতে এসেছিল,মাইফোয়াইবা লাল রংওর শারি ফরি আঁর লই দেহা গইর্ তো আইস্যে,ফুড়িটায় লাল রংগর শাড়ি পিন্দিয়া মোর লগে দেখা করাত আইছিল,মাইয়াডা লাল রং এর শাড়ি পরি আমার লগে দেখা করতে আইসিলো,ছেড়িটা লাল রংগের শাড়ি পইরা আমার সাথে দেখা করতে আইসিল,মাইআউগ্গা লাল  রুঙ্গা  শাড়ি পইর্রা মর লগে দেহা হর্তে আইসিলো
7,ছেলেটি সিলেট থেকে ঢাকায় এসেছে,ফোয়াইবা সিলেটত্তুন ঢাহা আইস্যে,ফুয়াটায় সিলেট থাকি ঢাকাত আইছে,পোলাডা সিলেট থেইকা ঢাকায় আইসে,ছেড়াটা সিলেটতন ঢাকাত আইসে,পলাউগ্গা শ্যলেত দিয়া ধাহা আইসেলে
8,মেয়েটি সিলেট থেকে আসা এই ছেলেটিকে অনেক ভালবাসে,মাইফোয়া ইবা সিলেটত্তুন আইস্যেদে ফোয়া ইবারে বঊত বালবাসে,ফুড়িটায় সিলেট থাকি আওয়া অউ ফুয়াটারে অনেক ভালা পায়,মাইয়াডা সিলেট থেইকা আশা পোলাডারে অনেক ভালোবাসে,ছেড়িটা সিলেট থাইকা আসা অই ছেড়াটারে অনেক ভালবাসে,মাইআউগ্গা শ্যলেত দিআ আঔআ পলাউগ্গারে আক্সের ভালপায়
9,ছেলেটি মেয়েটাকে এখনো ভালবাসার চোখে দেখেনি,ফোয়াইবা মাইফোয়া ইবারে আইযো বালবাসার চোকে ন দেহে,ফুয়াটায় এবো ধরি ফুড়িটারে ভালা পাওয়ার চউকে দেখছে না,পোলাডা মাইয়াডারে এখনো ভালোবাসার চোখে দেখেনো,ছেড়াটা ছেড়িটারে এখনো ভালবাসার চোখে দেখে নাই,পলাউগ্গা মাইআউগ্গারে আহন ভালপাঔআর ছহে দেহেনাই
10,মেয়েটি তাঁর সব স্বপ্নের মধ্যে ছেলেটাকে কল্পনা করে,মাইফোয়া ইবা তার বেজ্ঞিন সফ্নর মইদ্দে ফোয়াইবারে কল্ফনা গরে,ফুড়িটাায় তাইর হখল সফনর মাজে ফুয়াটারে কল্পনা করে,মাইয়াদা  হিগার  স্বপ্নের ভিতরে খালি পোলাগারে লই চিন্তা করতে থাকে,ছেড়িটা তার সপ্নের মধ্যে ছেড়াটারে কল্পনা করে,মাইআউগ্গা হেয়ার শব হপ্পনের মইদ্ধে পলাউগ্গারে ভাব্তে থাহে
11,আমার অনেক দিন আগে একবার বিয়ে হয়েছিল,আঁর বউতদিন আগে এব্বার বিয়া অইল,আমার বাক্কা আগে এখবার বিয়া অইছিল,আর অনেকদিন আগে একবার বিয়া অইছিলো,আমার অনেকদিন আগে একবার বিয়া হইছিল,মর বহুত দিন আগের্গ এউক্কা বিয়া হইসেলে
12,আমার মা আমাকে বলেছিল বিয়ে হলে জীবন পরিবর্তন হয়ে যায়,আঁর মা আঁরে হইল বিয়া অইলে জিবন ফাল্টি যা গই,আমার আম্মায় আমারে কইছলা বিয়া অইলে জীবন বদলি যায়,আর মা অরে কৈসিলো বিয়া হইলে জীবন পরিবর্তন হয়ে  যায়,আমার মা আমারে কইসিল বিয়া হইলে জীবন বদলায়া যায়,মর মাএ মরে কইসেলে বিআ হর্লে জিবন পরিবর্তন হইআ জায়
