বাংলা,চট্টগ্রাম
আমি,অ্যাঁই  
সিন্দাবাদের  ,সিন্দাবাদর
বেধেছে  ,বাইদ্ধে
 গভীর ,গভীর
আকাশের    ,আকাশের
আনবেন   ,আনিবেন
হাতুনগঞ্জে,হাতুনগঞ্জোত
আরোত,আরত
রিক্সায়,রিক্সাত
আরো,আরো
রিক্সা,রিক্সা
ভাত ,ভাত
থেকে ,তুন
আমার,অ্যাঁর
ভাংচুর,ভাংচুর 
খেয়েছে,খাইয়্যে
দূরবীণে,দূরবীণত
কাজের,হামের
রাগ,গুসসা
আনন্দের,আনন্দর 
আনন্দে,আনন্দে
প্রস্তুত,ফসতুত 
 আওয়াজ,আবাছ
কাজে,কামে
করছি,গইজ্জি
 করছে,গরের
একেবারে,এক্কোবারে
যাও   ,যো
যাওয়া ,যন
চালাক ,চালাক
পরিণতি  ,পরিণতি
মনে ,মনত
যাওয়ার,যনঅর
মনের ,মনর 
করছো ,গইজ্জ
জ্বালা ,জ্বালা
আশ্চর্য,আসচাইজ্জ
জ্বলে,জ্বলে
সবার ,বেজ্ঞুনের
বাকি,বাকি 
আযথা,বাইক্কে 
জ্বালায়,জ্বালাত 
আয়োজনে,আয়োজনত
বউ ,বউ
হোক ,হোক 
চায় ,চায়
অভিনয়   ,অবিনয়
কালো,হালা
অভিযোগ,অভিযোগ 
অভিযোগের,অভিযোগর
সুন্দর,সুন্দর
পুকুর,পইর
পুকুরে,পইরত
খরগোশ,হরগোশ
বাড়ির,বাড়ির
খরগোশের ,হরগোশঅর 
কচ্ছপ,হচ্চফ     
ছোট,ছোড
আবদার,আবদার 
বিয়ে,বিয়া
বিয়ের ,বিয়ার
করেছে,গইজ্জে
করেন,গরন
ভাই,বদ্দা
চুকচুকা,চুকচুইক্কা
বেঁচে,বাঁচি
বাবাকে,বাপেরে
প্রয়োজন,প্রয়োজন
বললাম	,হইলাম
বলল,হইলো  
করাবা ,গরাবা
হাঁটে,আডে
একদিন,একদিন
হাঁটার,আডিবার 
আতঙ্ক,আতঙ্ক
যাবো ,যাইয়্যুম
বান্ধবি,বান্ধবি
তোমার ,তোঁয়ার
হাঁটা,আডা
তোমারা,তোঁয়ারা
করুক,গরুক
জন্য ,লাই
আনবো,আইন্নুম
কড়িওয়ালা,হরিআলা 
সব,হক্কল
মিটিয়ে,মিটায়
সময়,সমত
সম্পত্তি,সম্পত্তি 
কথা,হথা
শিক,শিখ
ছাতা,ছাতা
থাকবে,থাইব
 থাক,তাক
মেয়ে,মাইয়্যা
কাশি,হাশি 
থাকুন ,থাইক্কুন
বার্ম,বর্মা
হাশরের,হাশরর
কাধের,হাডর
কাধ,হাড
করবে,গরিবে
শরীর,শরীর 
পরে ,বাদে / ফরে
থাকি,থাহি
কি ,কি
মাঝেমাঝে,মাজেমাজে
লাথি ,লাথি
ধাক্কাতে,বাইজ্জেতে
চিঠি,চিডি
জোয়ারে  ,জোয়ারে
ভাটা,ভাডা
মুক্তি,মুক্তি 
থাকিস,থাকস
দিব,দিয়্যুম
নেবেন,লইয়্যুন
পক্ষ ,পক্ষ
কুমড়া,হদু
নিবি    ,লইব্যি
ভাষায়,ভাষাত
নে  	,ল
