Standard_Bangla,dialect_speech,English_translation
ঐ লোকের সামনে আমি দাঁড়াতে পারবোনা,অই ব্যাডার সামনে মুই খাড়াইতে পারমু না,
ঐ লোক যদি আমার বোনের কোনো ক্ষতি করে,অই ব্যাডায় যদি মোর বুইনের কোন ক্ষেতি করে,
হয়ে গিয়েছি,অইয়া গেছি,
গণিত তোমার কেমন লাগে,অঙ্ক তোমার ক্যামন লাগে?,
অচেনা লোকের উপহার গ্রহণ করি না,অচেনা লোকের উপহার লই না,
ততদিনে আমি অনেক ভালোবেসে ফেলেছি ওকে,অতদিনে মুই ম্যালা ভালোবাইসসা হালাইছি অরে,
অনেকেই শখের বশে কবুতর পালন করেন,অনেক মানুই সখের লইজ্ঞা কইতর  পালে,
অনেকদিন আগে এক গ্রামে এক টুপি বিক্রেতা ছিলেন,অনেকদিন আগে এক গেরামে এক টুপি বিক্রেতা আল্লে,
অন্য কোথাও বিয়ে করে ভালো থাকবা তা কীভাবে হয়,অন্য কোনহানে বিয়া কইররা ভালো থাকবা হেইয়া ক্যামনে হয়,
অন্যান্য বই পড়েছেন,অন্য বই পরছেন?,
অন্যদিকে আপনার স্বামীও লোক হিসেবে ভাল না,অন্যদিক আমনের জামাইও মানু হিসাবে ভাল না,
অন্যদিকে এতো অন্যায় করার পরও আমার বাবা আর ঐ মহিলা অনেক সুখে আছেন,অন্যদিক এত্তো অন্যায় করার পরো মোর বাফে আর ঐ মাতারি বেমালা সুখে আছে,
অন্যের দোষ সহজেই খুঁজে পাওয়া যায়,অন্যের দোষ সহজেই খুইজ্জা পাওন যায়,
অপমান করে,অপমান হরে,
অপেক্ষা করবো,অপেক্ষা করমু,
অপেক্ষা করুন,অপেক্ষা করেন,
অবশ্যই আপনি নিয়মিত নামাজ পড়ে আল্লাহর কাছে শান্তি প্রার্থনা করতে পারেন,অবশ্যই আমনে পেরতেকদিন নামাজ পইররা আল্লাহর ধারে শান্তি দোয়া করতে পারেন,
ওর আর আমার স্কুল ফ্রেন্ডরা সব জানত,অর আর মোর ইস্কুল ফ্রেন্ডরা ব্যাবাক জানতে,
ওরা আপনাকে কিভাবে চায় ওদের মতো হবার চেষ্টা করুন,"অরা আমনেরে ক্যামনে চায়, অগো মতো হওনের চেষ্টা করবেন",
আরে এর মধ্যেই দেখি বিজয় মিছিল শুরু হয়ে গেছে,অরে ব্যাডা এইয়ার মইধ্যেই দেহি বিজয় মিছিল শুরুহইয়া গ্যাছে,
অসাধারণ করে লিখেছেন,অসাধারণ কইরা ল্যাখছেন,
অসহায় বোধ করছি,অসায় বোধ করতেআছি,
অসুখে তিনি কয়েক বছর ভুগেছিলেন,অসুখে হ্যায় কয়েক বছর ভোগছে,
তুই ডাক্তার,"অ্যাহা তুই দি কসাই হায়,তোরে ডাক্তার কয় কেডা",
ও ঠিকই বলেছে,অয় ঠিকই কইছে,
ও বোঝে না আমার ঠেকা নাই বুঝানোর,অয় বোঝেনা মোর ঠ্যাহা নাই বুঝাইন্নার,
ও আমার সাথে এটা করছে আমিও ওর সাথে এটা করবো,অয় মোর লগে এরহম করছে মুইও অর লগে এইডা করমু,
ও আমাকে কোন কাজে সাহায্য করে,অয় মোরে কোন কামে সাহাইয্য করে না,
আজ অনেক মজা হল,আইজ একছের মজা হইছে,
আজকে কত তারিখ?,আইজ কয় তারিখ?,What date is today?
আজকে কত তারিখ,আইজ কয় তারিখ?,
আজকে কতো তারিখ,আইজ কয় তারিখ?,
আজ গরিব বলে পৃথিবীতে থাকি বড়লোক হলে মঙ্গল গ্রহে থাকতাম,"আইজ গরীব দেইখ্যা পিরথিবিতে থাহি, বড়লোক হইলে মঙ্গল গ্রহে থাকতাম",
আজকে জন্মদিন,আইজ জন্মদিন,
আজকে জুম্মার দিন,আইজ জুম্মার দিন,
আজকে তোমার ভাইকে দেখলাম,আইজ তোমার ভাইরে দেখলাম,
আজকে তোমার ভাইকে দেখলাম,আইজ তোমার ভাইরে দ্যাখলাম,
আজ তোমার কন্যাকে নিয়ে সারা বই মেলা ঘুরেছি কিন্তু কোনো আনন্দ পায়নি,আইজ তোমার মাইয়া লইয়া হারা বইমেলা ঘুরছি তয় কোনো সুখ পাই নাই,
আজকে তোমায় দেখতে আসবে,আইজ তোমারে দ্যাখতে আইবে?,
,আইজ দুফারে মোগো দাওয়াত আছে,We have a lunch invitation today.
আজকে দুপুরে আমাদের দাওয়াত আছে ,আইজ দুফারে মোগো দাওয়াত আছে,We have an invitation today at noon
আজকে দুপুরে আমাদের দাওয়াত আছে,আইজ দুফারে মোগো দাওয়াত আছে,
আজকে দুপুরে আমাদের দাওয়াত আছে,আইজ দুফারে মোগো দাওয়াত আছে,
আজকে প্রায় আঁট দিন পানি নেই,আইজ পেরায় ৮ দিন পানি নাই,
আজ সকালে ফুটবল খেলেছি,আইজ বেইন্ন্যা কালে ফুটবল খেলেছি,
আজকে ভাইকে দেখলাম,আইজ ভাইরে দেখলাম,
আজকে আমি ছাতা আনতে ভুলে গেছি,আইজ মুই ছাতি আনতে ভুইল্লা গেছি,
আজ আমি রোগা তাই জন্য মানুষ আমাকে নিয়ে উল্টোপাল্টা সন্দেহ করে,"আইজ মুই হুগনা , হেইয়ার লইজ্ঞা মানু মোরে লইয়া উলডা পালডা সন্দেহ করে",
আজকে আমার জন্মদিন ,আইজ মোর জন্মদিন,Today is my birthday
আজকে আমার জন্মদিন,আইজ মোর জন্মদিন,
আজকে আম্র জন্মদিন,আইজ মোর জন্মদিন,
আজ রাতে বাবা হঠাৎ করে অসুস্থ হয়ে পড়েছে খবর শুনে হাসপাতালে এলাম,আইজ রাইতে বাপ হুট কইররা অসুস্থ হইয়া পড়ছে খবর হুইননা হাসপাতালে আইলাম,
আজকে সারাদিন বৃষ্টি হয়েছে,আইজ সারাদিন বইষ্যা হইছে,
আজ সিঙ্গেল বলে কারো জন্য হাত কাটতে পারি না,আইজ সিঙ্গেল দেইখ্যা কারো লইজ্ঞা হাত কাটতে পারি না,
আজকাল কী যে করছে ছেলেটা,আইজকাইল কি যে করতেয়াছে পোলাডা,
আজকাল ছোটরাও পাত্তা দিচ্ছে না,আইজকাল ছোডোরাও পাত্তা দেতেয়াছে না।,
আজকাল পড়াশোনার চাপ অনেক বেশি,আইজকাল পড়াশুনার চাপ একছের,
আজকের আবহাওয়টা অনেক সুন্দর,আইজগো আবহাওয়াডা ম্যালা সুন্দর,
আজকের এই দিনে বাংলাদেশকে খুব মনে পড়ে,আইজগো এই দিনে বাংলাদেশরে বেমালা মনে পরে,
আজ কোনো খেলা হবে না,আইজগো কোনো খ্যালা হইবে না,
আজ ছুটির দিন,আইজগো ছুটির দিন,
আজকে দেয়ালে পিঠ থেকে গেছে,আইজগো দেয়ালে পিঠ ঠ্যাকছে,
,আইজগো বাইরে যামু,We’ll go outside today.
আজকে বাহিরে যাব,আইজগো বাইরে যামু,
আজকে বাহিরে যাব না,আইজগো বাইরে যামু না,
আজকে আমার খেতে ভালো লাগছে না,আইজগো মোর খাইতে ভালো লাগতেয়াছে না,
আজ আমাকে বলে আমি নাকি তার যোগ্য না,আইজগো মোরে কয় মুই বোলে হ্যার যোগ্য না,
আজকে রাতে গায়ে হাত তুলেছে,আইজগো রাইতে গায়ে হাত তোলছে,
আজকে স্কুলে গিয়েছিলি,আইজগো স্কুলে গেছিলি,
চাষাবাদ করে আমি সময় কাটাই,আইল্লাডি কইরা মুই সময় কাডাই,
আকাশে মেঘের কারণে বৃষ্টি পড়ে,আকাশে মেঘের লইজ্ঞা বিরিষ্টি পরে,
আকাশে তারাগুলি আমাদেরকে আশা দেয়,আকাশের তারাগুলান মোগোড়ে আশা  দ্যায়,
আকাশের নীল রঙটি অসাধারণ,আকাশের নীল রংডা অসাধারন,
আগে পরের হিসাব বাদ আজকে ঝগড়ার বিষয় আব্বু বিদেশে থাকে,আগে পরের হিসাব বাদ আইজগো কাইজ্জার বিষয় আব্বা বিদেশে থাহে,
