Standard_Bangla,dialect_speech,English_translation
"""জ"" তে জাফর ইকবাল, তুই রাজাকার, তুই রাজাকার....","""জ"" তে জাফর ইকবাল, তুই রাজাকার, তুই রাজাকার।",
জারছি পড়া খানকির পোলা,।জার্সি ফরা হানকির ফুয়া,
দুরো সালার পুদ চুপথাক,।দুরু আলারফুত সুপ তাক,
হ্যাঁ তুমি অনেক মোটা,অ তুঁই বউত মোটা,
আপনাদের অযোগ্য সন্তান,অঁনোরার অযোগ্য ফোয়া,
অই সালা কাদির সালা চোরের মত কতা বলস কেন সালা আওয়ামিলীগের দালা,"অই আলা কাদির আলা চোরওর মত হতা হস কা, আলা আমামিলিগওর দালাল।",
ওই সালা সরকারি ওফিসে আকাজ করছে আরতুই কছ কিছুই বলার নেই মাদার চোদ ডিসির দালালি করছ,"অই আলা সরকারি অফিসত বইয়্যেরে আহাম বেজ্ঞিন গরের, আর তুই হদ্দে কিছু গরিবের নাই? মাদারিসুদ ডিসির দালালি গরস।",
সে আকাশে উড়ন্ত পাখির গান শোনতেই মন খুশি হয়ে উঠত,অই আস্সানর উরন্ত ফেইকঅর গান ফুনিলেই মন কুশি অই যাইতই,
ওপারে ভাল থেকেন স্যার। বাংলাদেশ এতো ডিজিটাল হলো যে মরা মানুষ status দিতে পারে ���,অই ফারে ভালা থাইকুন স্যার। বাংলাদেশ এতো ডীজিটাল অইয়্যি দে মানুষ মরিলি দেয়া ফরে,
সে ফুলগুলোর রঙিন মেলা দেখে হৃদয় ভরে যায়,অই ফুল্লুন অর রঙিন মেলা দেহি রিদয় বরি যা গই,
ওই ছেলে কোন কিছুই শুনতে চায় না তার সাথে দেখা করতে চায়,অই ফোয়া হনো কিচু ফুইন্তো ন চায় তার ফোয়ারে দেহা গইরতো চাই,
ওই মাগীরে বাংলাদেশ তেকে বাহির করে দেওয়া হক সমাজ নষ্ট করার জন্য এমন একটা মাগীর বাচ্চা ওই যতেস্ট,অই মাগীরে বাংলাদেশত্তুন বাইর গরি দেয়া ফরিবু সমাজ হারাপ বানাইবেল্লাই  এইল্লে উজ্ঞো মাগীর বাইচ্চে যথেষ্ট।,
অই মাদার চোদ কে ফাশি চাই,অই মাদার চুদোর ফাষি চাই।,
হয়ে গিয়েছি,অইগেই,
সেইবার আমি প্রায় চার মাস পরে বাসায় গিয়েছি,অইমত্তন আঁই ফ্রায় চাইর মাস ফর বাসাত গেয়্যি,
মাছ ধরছে,অকল মাছ ধরে,
অখুশি বালো লাগে না,অখুশি বালা ন লাগে।,
একটি ছোট বোন,অগগা গুরা বইন,
অচেনা লোকের উপহার গ্রহণ করি না,অচেনা লোকর উফহার গ্রহন নো গরি,
এক গালে একটা থাপ্পর লাগিয়ে দিব,অজ্ঞ গাল সায় সুয়ার দিউম,
অথচ আসে পাশের সব বাড়ি তেই পানি দিয়ে দিচ্ছে শুধু আমাদের বাড়িতেই পানি দিচ্ছে না,অতচ ফাশর বেজ্ঞিন বারিত ফানি দি ফিলার শুদু আঁরো বারিতই ন ফানি ন দের,
অতিন্ড দাদা ভালো লুক,অতীন্দ্র দাদা ভালা মানুষ।,
অতিনদো দা না থাকলে আজো রানু মন্ডল রাস্তাই রাস্তাই ভিক্ষা ই করে বেড়াতে হত,অতীন্দ্রদা ন থাহিলি আযিয়ে রানু মন্ডলরে রাস্তা রাস্তাত খরাত খুযন ফইত্তু।,
অতিন্দ্রদার দাঁ এর জন্য অনেক অনেক ভালোবাসা,অতীন্দ্রদার লায় বউত বউত ভালোবাসা।,
