Standard_Bangla,dialect_speech,English_translation
আজ গরিব বলে পৃথিবীতে থাকি বড়লোক হলে মঙ্গল গ্রহে থাকতাম," আজকে গরীব দেকিয়া পৃথিবীত থাকিয়ার, ধনী অইলে মঙ্গল গ্রহত থাকতাম",
কিছু কিনে দিতে চাইলে কোথায় ঘুরতে নিয়ে যেতে চাইলে উনি সেইটা ভালোভাবে নেন না," কুচ্চু কিনিয়া দিতো চাইলে, কুনো জাগাত পাখানিত লইয়া যাইতে চাইলে তাইন ইতা ভালাভাবে নেইন না",
নিজেকে কখনো বেকার ভাববেন না মনে রাখবেন আপনার শরীরের রক্ত দিয়ে হাজারো মশার সংসার চলে," নিজোরে কুনোসময় বাওটা ভাববা না, মনো রাখবা আফনার শরীলর রখতো দিয়া হাজার মশার সংসার চলের",
হারিয়ে গেছে কতকিছু কত আপনজন," হারাই গেছে গিয়া খতকিছু, খত আফনজন",
গণিত তোমার কেমন লাগে,অংক তুমিতাইন ওর কিলা লাগে তে?,
আমার জীবনের আলো,অইলায় আমার জীবনের আলো,
এ গান টা শুনে চোখে পানি চলে আসলো,অউ  গানটা হুনিয়া চকুত পানি আইচ্চে,
এই সেই সোনালী যুগের সেই প্রাচীন গান যে গান শুনলে বুকটা ভরে যায়,অউ অইলো সোনালী যুগর হউ পুরানা গানটা যে গান হুনলে বুক ভরি যায়,
এই করোনায় অনার্স ফাইনাল ইয়ারে থাকাকালীন বিয়ে হয়ে যায় আমার,অউ করোনার সময় অনার্স ফাইনেল ইয়ারো থাকাকালীন বিয়া অই গেছিল মোর,
এই গরমে আমার কিছু ভালো লাগে না,অউ গরমো আমার কুনতা ভালা লাগের না,
এই গানটা কতবার শুনিছি আমি নিজেই জানি না,অউ গানটা খতবার হুনছি মুই নিজেউ জানি না,
এই জিনিষটা খুবই বিরক্তিকর ছিল,অউ জিনিসটা খুবঅই  বিরক্তিকর আছিল,
এই দুনিয়াতে আম্মু আব্বু ভাই ছাড়া আমার কেও নাই,অউ দুনিয়াত আম্মা আব্বা ভাই ছাড়া মোর আর খেউ নায়,
