Standard_Bangla,dialect_speech,English_translation
। গরুর বাচ্চা কুকুরের বাচ্চা,গরুর বাইচ্ছা কুত্তার বাইচ্ছা,
অন্যায় দাবি করছে ক্রিকেটাররা অথচ দোষ নাকি বোর্ডের ? বাংলাদেশ মাতালের কারখানায় পরিনত হয়েছে।,অন্যায় দাবি কইচ্ছে ক্রিকেটারেরা হেও দোষ বলে বোর্ডের! বাংলাদেশ মাতালের কারখানায় পরিণত হয় গেসে।,
আইসিসিকে এই তথ্য দিলো কে?শুওরের বাচ্চা পাপন,আইসিসিরে এই খবর দিসে কনে? শুয়োরের বাইচ্ছা পাপইন্না। ,
আগারওয়াল পিউর বাস্টার্ড এর কিছু হবে না???,আগারওয়াল পুরা বাস্টার্ড এর কিসু ঐতোনো?,
আবাল তুই,আবাইল্লা তুই।,
আবাল দিয়ে দেশটা ভরে গেছে,আবাল দি দেশগা ভরি গেসে,
আমার মতে পত্যক ক্রিকেটার এখন সাকিবের পাশে থাকা উচিত খেলাটা বন্ধ করে দেওয়া উচিতবলা দরকার সাকিব না থাকলে খেলা হবে না দেখি বিসিবি কি করতে পারে আবার অনেকে বলবেন এটা কি বিসিবির দোষ নিহে আমি বলব এটা বিসিবির দোস আর সেখানের মুল শয়তান হল পাপন মাগীর পুলায়,"আঁর মতে প্রত্যেক ক্রিকেটার অন সাকিবের পাশে থাকন উচিত খেলাগা বন্ধ করি দেওন উচিত বলা দরকার সাকিব না থাইকলে খেলা অইতো ন  সাই বিসিবি কি ক‌ইরতে হারে আবার বহুত জনে ক‌ইবো— ইগা কি বিসিবির দোষ নি আঁই কমু— ইগা বিসিবির দোস, আর হিয়ানের মুল শতান অইলো পাপ‌ইন্না মাগীরহুতের।",
আমিও এক বছরের জন্ন ক্রিকেট খেলা দেখার বিরতি নিলাম।পাপনেরে জুতার বারি দাও।অর পদত্যাগ চাই,আঁই এক বছরের লাই ক্রিকেট খেলা দেখার তুন বিরতি লইলাম। পাপইন্নারে জুতার বাই দেও। হেতের পদত্যাগ চাই।,
আরে এদের মত পেলেয়ার দের রিজেক্ট দিয়ে দেন। নতুন করে টিম তৈরী করা হোক। শালারা ভাত পাই না চা চোদাই। পাপন ভাই রাইট কথা,আরে এগুনের মতো পেলেয়াররে  রিজেক্ট দি দন। নতুন করি টিম তৈরি করা অক। হালারা ভাত হায় না। চা সোদায়।  পাপন ভাই রাইট কতা।,
আরে মুশফিক মাদার চোদ,আরে মুশফিক্কা মাদারচোদ।,
আসুন আমরা সবাই মিলে এই চেনেল এর মালিকের মারে গিয়ে নিজ দায়িত্বে চুদে আসি,আইয়েন আমরা বেকে মিলি এই চ্যানেলের মালিকের মারে যাই নিজ দায়িত্বে হোন্দাই আই।,
উড়ছে লুঙ্গি লাগছে বেশ চুদে গেছে কাঙলাদেশ। ��,"উড়ের লুঙ্গি লাগের বেশ, চুদি গেছে কাঙলাদেশ।",
"এ কুত্তারবাচ্চা, রুবেল গান গাইলো কখন??","এ কুত্তারবাইচ্ছা, রুবেল গান গাইলো কত্তে?",
এ খানকির পুলা গান কই,এ খানকিরহুত গান কই?,
এই ইউটিওবার যে গরু চোর এতে কোনো সন্দেহ নেই তোর চোখে কি দেওয়ান বাগি মাজার পুজারি চেখে পড়েনা গরু চোরের মতো ওয়াজের পিছনে লাগছোত এসব বন্দ করো তুইতো মেহনত ছাড়া ইউটিওবে টাকা ইনকামের দান্দায় এসেছিস এটার কথা বলবে কে শুনি পাগল ছাগলের দল,এই ইউটিউবার যে গরু চোর ইয়ানে  কোনো সন্দেহ নাই। তোর চোকে কি দেওয়ান বাগি মাজার পুজারি চোকে হড়েনা গরু চোরের মতো ওয়াজের হিছনে লাইগছত। এগিন বন্দ কর। তুইতো মেহনত ছাড়া ইউটিউবে টাকা ইনকামের দান্দাত আইসোস। ইগার কতা ক‌ইবো কনে হুনি হাগল ছাগলের দল,
এই কুত্তা পাপনকে সভাপতি থেকে সরানো হক।তাহলে বাংলাদেশ ক্রিকেট অনেক উপরে যাবে।,এই কুত্তা পাপইন্নারে সভাপতি তুন সরাই দন। তাইলে বাংলাদেশ ক্রিকেট অনেক ওসে যাইবো।,
