Standard_Bangla,dialect_speech,English_translation
আমি ওদিকে যাব না,আমি ওবায় যাইতাম না,I will not go there
আমি ওদিকে যাব,আমি ওবায় যাইমু,I will go there
একটি কবিতা বল,একটা কবিতা কও,Say a poem
আমার কবুতর পছন্দ,মোর কবিতা পছন্দ ,I like pigeons
আমার কপাল ভাল,আমার কপাল ভাল,My forehead is fine
সে কিভাবে ঝিমাচ্ছে দেখ,হে কিলাখান ঝিমার দেখ,Look at how he's squinting
কি পেয়েছেন ,কিতা পাইছো,Look at how he's squinting
আমি তোমাকে দেখে নেবো,আমি তোমারে দেখিয়া নিমু,I will see you
ভুলে গেছো,ভুলিয়া গেছো,You forgot
কি তরকারি,কিতা তরকারি?,What curry
আমি পারবো,আমি পারমু,I can
সে পালিয়েছে,হে পালাইছে ,He ran away
সে অনেক ভীতু,হে অনেক ডরালোক,He is very shy
তরকারি নাও,তরকারি নাও,Take the curry
কাছে এসো,কান্দাত আও,Come closer
আপনাকে পাঠিয়েছে,আফনারে পাঠাইছে?,Sent you
শিমুর গোলাপি রং পছন্দ ,শিমুর গোলাপি রং পছন্দ ,Shimu likes pink color
শিমুর আকাশী রং পছন্দ ,শিমুর আকাশী রং পছন্দ ,Shimu likes blue color
শিমুর ধূসর রং পছন্দ ,শিমুর ধূসর রং পছন্দ ,Shimu prefers gray color
শিমুর মেরুন রং পছন্দ ,শিমুর মেরুন রং পছন্দ ,Shimu prefers maroon color
শিমুর কমলা রং পছন্দ ,শিমুর কমলা রং পছন্দ ,Shimu likes orange color
শিমুর খয়েরি রং পছন্দ ,শিমুর খয়েরি রং পছন্দ ,Shimu likes kheri colors
আপনারা আগে যান ,আফনারা আগে জাউকা ,You go first
আপনি কোথায় থেকে এসেছেন?,আফনে কোন থাকি আইছইন ,Where are you from?
সামলে রেখো।,সামলাইয়া রাখিও ,Hold on
কি করবে আমি যদি ঠিক থাকি,কিতা করবায় আমি যদি ঠিক থাকি ,What if I am right?
আমার কথা বুঝিস তুই?,আমার মাত বুঝরে তুই ,Do you understand me?
আমার পিছন কি?,আমার পিছনে কিতা,What's behind me?
তোমাকে আমরা দেখে নেবো,তোমারে আমরা দেখিয়া নিমু ,We will see you
যাওয়ার সময় কোথায় গেছিস,যাওয়ার সময় কোনানো গেছলে ,Where did you go when you left?
প্রানটা ঘরে রেখে,জানটা ঘরে রাইক্ষা,Keep your soul at home
মাথায় হাত দিয়ে বলো আমাকে ধোঁকা দিবে না,মাহাত হাত দিয়া কও আমারে ধুকা দিতায় না,Put your hand on your head and say don't cheat on me
তোমার নাম লিখে দিয়েছি,তোমার নাম লেখিয়া দিলাইছি ,I have written your name
 না ও বলিস হা বলিস।,"না ও কইস, হা ও কইস",No and say yes.
আমি জানি তুমি এসেছো,আমি জানি তুমি আইছো ,I know you came
তুমি কাল এসো,তুমি কালকে আইও ,You come tomorrow
আমি জানি তুমি এসেছো,আমি জানতাম তুমি আইবায়,I know you came
সিটি কর্পোরেশন অফিস আছে,সিটি কপোরেশন অপিশ আছে,There is a city corporation office
অনেক কষ্টে আছি,বাউট সমস্যায় আছি,I am in a lot of trouble
আমি সত্যি খুব অসহায় বোধ করছি,আমি হাচাউ বাক্কা অসহায় বোধ কোরিয়ার,I feel really helpless
