বাংলা,চট্টগ্রাম
আমি ভাত খাবো না রাগ করছি আমার মনে জ্বালা,অ্যাঁই ভাত ন হাইয়্যুম গুসসা ওইয়্যুম অ্যাঁর মনত জ্বালা
একদিন বুড়ি চিন্তা করল তার মুরগি,একদিন বুড়ি চিন্তা গরিল কুরো
আমি যে খেতে দেই যদি,অ্যাঁই যে হাইতে দ্যি যদি
সে একটা করে ডিম দেয়,ইতে উজ্ঞো গরে দিম দে
তার খাবার দিলে বেশি করে ডিম দিবে,ইতার হানা দিলে বেশি গরে দিম দিতি
আর আমার বেশি টাকা ঘরে আসবে,আর অ্যাঁর বেশি টিঁয়া ঘরত আইব্যু
বুড়ি মুরগির খাওয়া বেশি করে দেয়,বুড়ি কুরোর হাওন বেশি গরে দে
মুরগি বেশি খাবার খেয়ে বেশি করে ডিম দেয়,কুরো বেশি হানা হাই বেশি গরে দিম দে
কিন্তু পরের দিন আর ডিম দেয় না,কিন্তু ফরর দিন আর দিম ন দে
আবার ডিম দিয়েছে মুরগি,আবার দিম দিইয়্যি কুরো
মুরগি একটি করে ডিম দিতে লাগে,কুরো উজ্ঞো গরে দিম দন লার
সে ডিম দেওয়া বন্ধ করে দেয়,ইতে দিম দিবে বন্ধ গরে দে
একটা বড় ব্যবসায়ী ছিল,উজ্ঞো ডঁর ব্যবসায়ী আইসসিল
তার ছিল অনেক ধন সম্পত্তি,ইতার আইসসিল বহুত ধন সম্পত্তি
তার একটা বড় কুকুর ছিল,ইতার উজ্ঞো ডঁর কুত্তা
দুইটি ভাই অনেক বছর বড়,দুয়ো বদ্দা বহুত বছর ডঁর
বয়স যখন বেশি,বয়স যেত্তে বেশি
আর তখন থেকে দেখা করে আর লেখাপড়া খরচ দেয়,আর তহন তুন দেহা গরে আর লেয়াপড়া খরচ দে
এখন অনেক বড় একটা বাড়ি,এহন বহুত ডঁর উজ্ঞো বাড়ি
আর কথা বলার সুযোগ দেয় না,আর হথা হইবের সুজুগ ন দে
তাকে নিয়ে চলে আসে,ইতারে লইয়্যে চলি অ্যাইয়ে
অনেক ভয় পেয়েছে বুঝা যাচ্ছে,বহুত ডর পাইয়্যে বুজা যার
ভয়ে কিছু করতে যেতে চায় না,ডরে কিছু গরিতে যাইতাম ন চায়
এসব দেখে তাকে সবাই বলল,এগিন চ্যাঁই ইতারে বেজ্ঞুনে হইলো
না আপনি যাবেন না,না অনে ন যাইবেন
আমি আর করবো না আজকে কিছু,অ্যাঁই আর ন গইজ্জুম আজিয়ে কিসু
তারা আবার আসবে,ইতারা আবার আইব্যু
আর আমাকে সাথে করে নিয়ে যাবে,আর অ্যাঁরে লগে গরে লইয়্যে যাইব্যু
তুই আমাকে কি দিতে পারবি,তুঁই অ্যাঁরে কি দন ফারিবি
সে জন্য ওকে সুযোগ করে দিতে চাই,ইতে লাই সুজুগ গরে দন চাই
তোরা তো বুঝিস সব,তুঁরা তো বুঝস হক্কল
কি ভুল বলছি বলবেন,কি ভুল হইদ্দি হইয়্যুন
তোকে কেন যেতে দিবে বল তো,তোঁরে কিল্লাই যাইতাম দিতি হ তো
তোর কষ্ট হবে শাড়ি পড়ে,তুঁর কষ্ট অইব্যু শাড়ি ফড়ি
তাই বলছি সব করে নিতে,তাই হইদ্দি হক্কল গরে লইত
আচ্ছা তুই কাজ করে শেষ কর,আইচ্ছা তুঁই কাম গরে শেষ গর
কথায় একবারে বলছি,হথায় এব্বেরে হইদ্দি
পিছনে ঘুরে বসে সবাই,ফিছে ঘুরি বৈ বেজ্ঞুনে
রেখে এসেছে এখন যেতে হবে,রাহি আইসসে এহন যাইতাম অইব্যু
তাকে নিয়ে বলল আমাকে যেতে হবে,ইতারে লইয়্যে হইলো অ্যাঁরে যাইতাম অইব্যু
তোমাদের এখন যেতে হবে,তোঁয়ারার এহন যাইতাম অইব্যু
তোমাদের বাড়িতে কি মেহমান এসেছে,তোঁয়ারার বাড়িত কি মেমান আইসসে
মেহমান খুঁজে আমাকে,মেমান তোঁয়াইন অ্যাঁরে
আপনি আমাকে ছেড়ে চলে যাবেন,অনে অ্যাঁরে ছাড়ি চলি যাইবেন
বাবা মা এসে আমাকে নিয়ে যাক,বাপ মা আই অ্যাঁরে লইয়্যে যাক
নিয়ে যাক তাহলে ভাল হবে,লইয়্যে যাক তঁইলে গম অইব্যু
রাগ করেছে কেন,গুসসা গইজ্জে কিল্লাই
সে পড়েছে বিপদে,ইতে ফইজ্জে বিপদত
একটা দিকে তার জন্য অপেক্ষা করছে,উজ্ঞো মিক্কে ইতার লাই অপেক্ষা গরের
অন্য দিকে বউ রাগ করে আছে,অন্য মিক্কে বউ গুসসা গরে আছে
এখন কার কাছে যাওয়া দরকার,এহন হার হাছে যন দরহার
সবকিছু চিন্তা করে দরজা বন্ধ করে,বেক্কিছু চিন্তা গরে দরজা বন্ধ গরে
এখানে তো থাকা ভাল,ইয়েন তো থাওন গম
কে বলা যাবে আর ফেলে যাওয়া ঠিক হবে না,কেডা হোন যাইব্যু আর ফেলায় যন ঠিক ন অইব্যু
আজকে তারা ভয় পেয়েছে অনেক,আজিয়ে ইতারা ডর পাইয়্যে বহুত
না জানলে কি দেখেছে,ন জানিলে কি দেইক্কে
তার অফিস শহরে নিজের বাড়ি ঘর সব,ইতার অফিস শহোরত নিজর বাড়ি ঘর হক্কল
এখানে চলে আসে সব সময়,ইয়েন চলি অ্যাইয়ে হক্কল সমত
