SL,Chittagong Language,Sylhet Language,Barisal Language,Standard Bangla Lanuguage,English Translation
1,আমি ইক্কে নযাইয়ুম ,আমি ওবায় যাইতাম না,মুই হুমমে যামুনা ,আমি ওদিকে যাব না,I will not go there
2,আমি ইক্কে যাইয়ুম ,আমি ওবায় যাইমু,মুই হুমমে যামু ,আমি ওদিকে যাব,I will go there
3,এক্কান সবক হইছ,একটা কবিতা কও,একটা কবিতা কও ,একটি কবিতা বল,Say a poem
4,আর হইতর গম লায়,মোর কবিতা পছন্দ ,মোর কবিতা পছন্দ ,আমার কবুতর পছন্দ,I like pigeons
5,আর হোয়াল ভালা,আমার কপাল ভাল,মোর কপাল ভালা ,আমার কপাল ভাল,My forehead is fine
6,তেঁই ক্যান গরি ঝুরার সা,হে কিলাখান ঝিমার দেখ,হে কেমনে ভিম্রি দিছে দেখ ,সে কিভাবে ঝিমাচ্ছে দেখ,Look at how he's squinting
7,কি ফাইয়্যুন ,কিতা পাইছো,কি পাইছেন ,কি পেয়েছেন ,Look at how he's squinting
8,আই তোঁয়ারে চাই লইওম,আমি তোমারে দেখিয়া নিমু,তোরে দেইক্কা নিমু ,আমি তোমাকে দেখে নেবো,I will see you
9,ফঅরি গেইয়্যু,ভুলিয়া গেছো,ভুইলা গেছো,ভুলে গেছো,You forgot
10,কি সালন,কিতা তরকারি?,কি সালুন ,কি তরকারি,What curry
11,আই ফাইজ্জুম,আমি পারমু,মুই পারমু না,আমি পারবো,I can
12,ইতে ধাইয়্যি,হে পালাইছে ,হে পলাইছে,সে পালিয়েছে,He ran away
13,ইতে বউত ডরাল্লো,হে অনেক ডরালোক,হে একছে ডউররা,সে অনেক ভীতু,He is very shy
14,তরহারি লঅ,তরকারি নাও,সালুন নাই,তরকারি নাও,Take the curry
15,গা-উজু আইয়ো,কান্দাত আও,ধারে আও,কাছে এসো,Come closer
16,অনরে ফাদইয়ে,আফনারে পাঠাইছে?,আমনেরে পাডাইছে?,আপনাকে পাঠিয়েছে,Sent you
17,শিমুর গোলাপি রং পছন্দ ,শিমুর গোলাপি রং পছন্দ ,শিমুর গোলাপি রং পছন্দ ,শিমুর গোলাপি রং পছন্দ ,Shimu likes pink color
18,শিমুর আকাশী রং পছন্দ ,শিমুর আকাশী রং পছন্দ ,শিমুর আকাশী রং পছন্দ ,শিমুর আকাশী রং পছন্দ ,Shimu likes blue color
19,শিমুর ধূসর রং পছন্দ ,শিমুর ধূসর রং পছন্দ ,শিমুর ধূসর রং পছন্দ ,শিমুর ধূসর রং পছন্দ ,Shimu prefers gray color
20,শিমুর মেরুন রং পছন্দ ,শিমুর মেরুন রং পছন্দ ,শিমুর মেরুন রং পছন্দ ,শিমুর মেরুন রং পছন্দ ,Shimu prefers maroon color
21,শিমুর কমলা রং পছন্দ ,শিমুর কমলা রং পছন্দ ,শিমুর কমলা রং পছন্দ ,শিমুর কমলা রং পছন্দ ,Shimu likes orange color
22,শিমুর খয়েরি রং পছন্দ ,শিমুর খয়েরি রং পছন্দ ,শিমুর খয়েরি রং পছন্দ ,শিমুর খয়েরি রং পছন্দ ,Shimu likes kheri colors
23,অনরা আগে জো,আফনারা আগে জাউকা ,আমনেরা আগে যান ,আপনারা আগে যান ,You go first
24,অনে কত্তুন আইশ্যুন যে?,আফনে কোন থাকি আইছইন ,হামনে কোমমেইদ্যা আইছেন,আপনি কোথায় থেকে এসেছেন?,Where are you from?
25,সামালি রাইক্কু,সামলাইয়া রাখিও ,সামলাইয়া রাহিস,সামলে রেখো।,Hold on
26,অ্যাঁই যদি ঠিক থাহি,কিতা করবায় আমি যদি ঠিক থাকি ,মুই ঠিক থাকলে কি করবে,কি করবে আমি যদি ঠিক থাকি,What if I am right?
27,অ্যাঁর হথা বুঝস তুঁই?,আমার মাত বুঝরে তুই ,মোর কতা বোজোছ তুই,আমার কথা বুঝিস তুই?,Do you understand me?
28,অ্যাঁর ফন্দে কি?,আমার পিছনে কিতা,মোর পিছনে কি,আমার পিছন কি?,What's behind me?
29,তোঁয়ারে অ্যাঁরা চ্যাঁই লইইয়্যুম,তোমারে আমরা দেখিয়া নিমু ,তোরে মোরা দেকমু আনে,তোমাকে আমরা দেখে নেবো,We will see you
30,যনঅর সমত হডে গেইয়্যুস তুঁই,যাওয়ার সময় কোনানো গেছলে ,যাওয়ার ক্যালপ কোমমে গেছিলি,যাওয়ার সময় কোথায় গেছিস,Where did you go when you left?
31,পরান্নান ঘরত রাহি,জানটা ঘরে রাইক্ষা,জানডা ঘরে রাইখখ্যা,প্রানটা ঘরে রেখে,Keep your soul at home
32,মাতাত আঁত দি ক অ্যাঁরে দাগা ন দিতি,মাহাত হাত দিয়া কও আমারে ধুকা দিতায় না,মাতায় হাত দিয়া ক মোরে ধোকা দিবি না,মাথায় হাত দিয়ে বলো আমাকে ধোঁকা দিবে না,Put your hand on your head and say don't cheat on me
33,তোয়ার নামত লেহি,তোমার নাম লেখিয়া দিলাইছি ,তোর নাম লেইকক্যা দিছি,তোমার নাম লিখে দিয়েছি,I have written your name
34,"না~ইউ হস, তর~ উ হস","না ও কইস, হা ও কইস",হয় কইলে কইস না কইলেও কইস, না ও বলিস হা বলিস।,No and say yes.
35,আঁই জানিদে তুঁই আইশ্যু,আমি জানি তুমি আইছো ,মুই জানি তুই আইছো,আমি জানি তুমি এসেছো,I know you came
36,তুঁই হালিয়ে আইশ্যু,তুমি কালকে আইও ,তুই কাইল আইস,তুমি কাল এসো,You come tomorrow
37,আঁই জানিদে তুঁই আইশ্যু,আমি জানতাম তুমি আইবায়,মুই জানি তুই আইছো,আমি জানি তুমি এসেছো,I know you came
38,সিটি কপোরেশন অপিশ আছে,সিটি কপোরেশন অপিশ আছে,সিটি কর্পোরেশন অফিস আছে,সিটি কর্পোরেশন অফিস আছে,There is a city corporation office
39,বেশি সমস্যার আছি,বাউট সমস্যায় আছি,মেলা সমস্যায় আছি,অনেক কষ্টে আছি,I am in a lot of trouble
