Standard_Bangla,dialect_speech,English_translation
আপনি বেঁচে আছেন?,আফনে বাঁচিয়া আছইন নি?,Are you alive?
খুব সুন্দর,খুব সুন্দর,Very beautiful
দুই ঘন্টা ধরে বিদ্যুৎ যায়নি,দুই ঘন্টা ধরি বিদ্যুৎ যার না,There was no electricity for two hours
বোনকে বাসায় পাঠিয়ে দিয়েছি,বইনরে বাসাত পাটাই দিছি,I have sent my sister home
বিয়ের সময় বলছিলো বরের বাড়ি আছে,বিয়ার কালো কইছলা জামাইর বাড়ি আছে,"At the time of marriage, it was said that the groom has a house"
আমি তাকে এইগুলো শিখাইছি,মুই তানরে অতা হিখাইছি,I am teaching him these
আমি রেগে থাকলেও সে বুঝতো না,মুুই বেমার থাকলেও তাইন বুঝতা না,"Even if I was angry, he didn't understand"
আমার ৮ মাসের একটা ছেলে বাবু আছে,মোর ৮ মাসর এখান ফুয়া আছে,I have an 8 month old son
এই গানটা শুনে মনে হল আমি বাংলাদেশ থেকে ঘুরে এলাম,অউ গানটা হুনিয়া মনো অইলো আমি বাংলাদেশ থাকি গুরিয়া আইলাম,"After listening to this song, I felt like I came back from Bangladesh"
এই ছোট ছেলেটি একটি বল  দিয়ে খেলছে,অউ ছুটো ফুয়া ইগু বল দিয়া খেলার,This little boy is playing with a ball
এই মেয়ে রীতিমতো আমার ভাই আর মাকে কষ্ট দিচ্ছে,অউ ফুড়ি রীতিমতো মোর ভাই আর আম্মারে খষ্ট দের,This girl is giving trouble to my brother and mother
এই বিষয়টা নিয়ে আর কথা বলতে চাচ্ছি না,অউ বিষয়ে আর মাততাম চাইয়ার না,I don't want to talk about this anymore
এটা শুনে আব্বু রেগে ফোন কেটে দিছে,অউ মাত হুনিয়া আব্বায় গুসা খরি ফোন কাটি দিছইন,"Hearing this, Abbu hung up the phone angrily"
হোকনা ভালো কিছুর শুরুটা এভাবেই,অউক না ভালা কুন্তার শুরু অলাউ,This is how good things start
এইটা কি ঠিক সিদ্ধান্ত হবে আমাদের জন্য?,অখটা কিতা ঠিগ সিদ্ধান্ত অইবো নি আমরার লাগি?,Is this the right decision for us?
এটা জরুরি না সব সময় সব কিছু অপর জন করবে,অখটা জরুলি না যেন হখল সময় সবতা আরেখ জন করিয়া দিবো,It is not necessary to always do everything else
এইটাই আমার সাথে তার শেষ কথা,অখটাউ তান লগে মোর শেষ মাত,This is the last thing he said to me
এখন এটার সমাধান কোথায় পাবো,অখন অটার সমাধান খই ফাইতাম,Now where can I find the solution?
এখন নিজেই আর পারছি না,অখন নিজেউ আর ফারিয়ার না,Now I can't do it myself
এখন নিজেকেই আর বিশ্বাস করতে পারি না,অখন নিজোরেউ আর বিশ্বাস খরতাম ফারই না,I can't believe myself anymore
এসব গান ছোটবেলা থেকে শুনে বড় হয়েছি,অতা গান হুরু থাকি হুনিয়া বড় অইছি,I grew up listening to these songs since childhood
এসব নিয়ে আমি সমস্যা করি নি,অতা লইয়া আমি সমস্যা খরছি না,I have no problem with these
এতো এতো সংসারের ঝামেলা দেখে পোস্ট করা,অতো অতো সংসারর ঝামেলা দেকিয়া পোস্ট খরা,Posting after seeing so many problems in the world
অনেক তোমার সংসারে দায়িত্ব পালন করেছি,অনেখ তুমার সংসারর দায়িত্ব পালন খরছি,I have done many responsibilities in your family
এদিকে যার সাথে বিয়ে হয় সে অশিক্ষিত,অবায়দি যার লগে বিয়া অইছে হে গন্ডোমূর্খ,"On the other hand, the one who gets married is uneducated"
এমন মনোভাব নিয়ে সংসারে কখনো সুখ আসে না,অলা মনোভাব লইয়া সংসারো কুনোদিন সুখ আয় না,Happiness never comes in the world with such an attitude
এভাবে গেঞ্জাম হয় আবার মিল এরকম করতে করতে ৫ বছর হয়েছে এখন,অলান গেঞ্জাম লাগে আবার মিল অয় অলা খরি খরি ৫ বৎসর অই গেছে এখন,It has been 5 years now that Ganjam is doing this again
আজকে প্রায় ৮ দিন পানি নেই,আইজ প্রায় ৮ দিন ধরি পানি নাই,Today there is no water for about 8 days
আজ সিঙ্গেল বলে কারো জন্য হাত কাটতে পারি না,আইজ সিংগেল দেকিয়া কারো লাগি হাত কাটতাম ফারি না,Today I can't cut my hand for someone who is single
